0  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=74, nb_calimsMax=3, nb_claims=22 Nb_Messages=171
1  detected 1 0 nb_WinessCacheMax=7 nb_WinessCache=78, nb_calimsMax=7, nb_claims=42 Nb_Messages=209
2  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=71, nb_calimsMax=3, nb_claims=4 Nb_Messages=170
3  detected 1 0 nb_WinessCacheMax=6 nb_WinessCache=72, nb_calimsMax=6, nb_claims=20 Nb_Messages=157
4  detected 1 0 nb_WinessCacheMax=5 nb_WinessCache=75, nb_calimsMax=5, nb_claims=17 Nb_Messages=166
5  detected 1 0 nb_WinessCacheMax=6 nb_WinessCache=64, nb_calimsMax=6, nb_claims=13 Nb_Messages=162
6  detected 1 0 nb_WinessCacheMax=7 nb_WinessCache=63, nb_calimsMax=7, nb_claims=15 Nb_Messages=170
7  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=74, nb_calimsMax=3, nb_claims=6 Nb_Messages=180
8  detected 1 0 nb_WinessCacheMax=2 nb_WinessCache=70, nb_calimsMax=2, nb_claims=2 Nb_Messages=164
9  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=75, nb_calimsMax=3, nb_claims=16 Nb_Messages=161
10  detected 1 0 nb_WinessCacheMax=4 nb_WinessCache=69, nb_calimsMax=4, nb_claims=13 Nb_Messages=164
11  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=71, nb_calimsMax=3, nb_claims=18 Nb_Messages=167
12  detected 1 0 nb_WinessCacheMax=5 nb_WinessCache=70, nb_calimsMax=5, nb_claims=5 Nb_Messages=173
13  detected 1 0 nb_WinessCacheMax=7 nb_WinessCache=67, nb_calimsMax=7, nb_claims=20 Nb_Messages=173
14  detected 1 0 nb_WinessCacheMax=2 nb_WinessCache=70, nb_calimsMax=2, nb_claims=2 Nb_Messages=170
15  detected 1 0 nb_WinessCacheMax=6 nb_WinessCache=71, nb_calimsMax=6, nb_claims=12 Nb_Messages=167
16  detected 1 0 nb_WinessCacheMax=6 nb_WinessCache=68, nb_calimsMax=6, nb_claims=16 Nb_Messages=155
17  detected 1 0 nb_WinessCacheMax=5 nb_WinessCache=71, nb_calimsMax=5, nb_claims=19 Nb_Messages=176
18  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=69, nb_calimsMax=3, nb_claims=11 Nb_Messages=166
19  detected 1 0 nb_WinessCacheMax=4 nb_WinessCache=73, nb_calimsMax=4, nb_claims=23 Nb_Messages=180
20  detected 1 0 nb_WinessCacheMax=5 nb_WinessCache=69, nb_calimsMax=5, nb_claims=18 Nb_Messages=165
21  detected 1 0 nb_WinessCacheMax=6 nb_WinessCache=71, nb_calimsMax=6, nb_claims=11 Nb_Messages=162
22  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=75, nb_calimsMax=3, nb_claims=18 Nb_Messages=192
23  detected 1 0 nb_WinessCacheMax=6 nb_WinessCache=72, nb_calimsMax=6, nb_claims=12 Nb_Messages=167
24  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=71, nb_calimsMax=3, nb_claims=4 Nb_Messages=190
25  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=71, nb_calimsMax=3, nb_claims=22 Nb_Messages=161
26  detected 1 0 nb_WinessCacheMax=6 nb_WinessCache=66, nb_calimsMax=6, nb_claims=6 Nb_Messages=153
27  detected 1 0 nb_WinessCacheMax=5 nb_WinessCache=70, nb_calimsMax=5, nb_claims=13 Nb_Messages=154
28  detected 1 0 nb_WinessCacheMax=4 nb_WinessCache=68, nb_calimsMax=4, nb_claims=18 Nb_Messages=169
29  detected 1 0 nb_WinessCacheMax=7 nb_WinessCache=70, nb_calimsMax=7, nb_claims=26 Nb_Messages=175
30  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=76, nb_calimsMax=3, nb_claims=6 Nb_Messages=186
31  detected 1 0 nb_WinessCacheMax=4 nb_WinessCache=79, nb_calimsMax=4, nb_claims=36 Nb_Messages=185
32  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=70, nb_calimsMax=3, nb_claims=12 Nb_Messages=185
33  detected 1 0 nb_WinessCacheMax=7 nb_WinessCache=66, nb_calimsMax=7, nb_claims=16 Nb_Messages=159
34  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=72, nb_calimsMax=3, nb_claims=3 Nb_Messages=162
35  detected 1 0 nb_WinessCacheMax=5 nb_WinessCache=70, nb_calimsMax=5, nb_claims=13 Nb_Messages=162
36  detected 1 0 nb_WinessCacheMax=2 nb_WinessCache=72, nb_calimsMax=2, nb_claims=3 Nb_Messages=179
37  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=73, nb_calimsMax=3, nb_claims=5 Nb_Messages=157
38  detected 1 0 nb_WinessCacheMax=5 nb_WinessCache=76, nb_calimsMax=5, nb_claims=8 Nb_Messages=194
39  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=71, nb_calimsMax=3, nb_claims=14 Nb_Messages=179
40  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=69, nb_calimsMax=3, nb_claims=10 Nb_Messages=161
41  detected 1 0 nb_WinessCacheMax=2 nb_WinessCache=71, nb_calimsMax=2, nb_claims=2 Nb_Messages=178
42  detected 1 0 nb_WinessCacheMax=6 nb_WinessCache=70, nb_calimsMax=6, nb_claims=17 Nb_Messages=164
43  detected 1 0 nb_WinessCacheMax=6 nb_WinessCache=66, nb_calimsMax=6, nb_claims=9 Nb_Messages=154
44  detected 1 0 nb_WinessCacheMax=5 nb_WinessCache=75, nb_calimsMax=5, nb_claims=22 Nb_Messages=175
45  detected 1 0 nb_WinessCacheMax=6 nb_WinessCache=77, nb_calimsMax=6, nb_claims=30 Nb_Messages=183
46  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=73, nb_calimsMax=3, nb_claims=11 Nb_Messages=162
47  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=67, nb_calimsMax=3, nb_claims=6 Nb_Messages=173
48  detected 1 0 nb_WinessCacheMax=6 nb_WinessCache=71, nb_calimsMax=6, nb_claims=13 Nb_Messages=164
49  detected 1 0 nb_WinessCacheMax=2 nb_WinessCache=65, nb_calimsMax=2, nb_claims=2 Nb_Messages=178
50  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=73, nb_calimsMax=3, nb_claims=6 Nb_Messages=167
51  detected 1 0 nb_WinessCacheMax=6 nb_WinessCache=72, nb_calimsMax=6, nb_claims=33 Nb_Messages=184
