0  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=134, nb_calimsMax=3, nb_claims=23 Nb_Messages=248
1  detected 1 0 nb_WinessCacheMax=2 nb_WinessCache=128, nb_calimsMax=2, nb_claims=3 Nb_Messages=267
2  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=135, nb_calimsMax=3, nb_claims=8 Nb_Messages=251
3  notDtected 1 0 nb_WinessCacheMax=3 nb_WinessCache=138, nb_calimsMax=3, nb_claims=3 Nb_Messages=255
4  detected 1 0 nb_WinessCacheMax=4 nb_WinessCache=138, nb_calimsMax=4, nb_claims=41 Nb_Messages=258
5  notDtected 1 0 nb_WinessCacheMax=3 nb_WinessCache=132, nb_calimsMax=3, nb_claims=16 Nb_Messages=229
6  detected 1 0 nb_WinessCacheMax=2 nb_WinessCache=127, nb_calimsMax=2, nb_claims=8 Nb_Messages=247
7  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=130, nb_calimsMax=3, nb_claims=9 Nb_Messages=230
8  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=126, nb_calimsMax=3, nb_claims=4 Nb_Messages=279
9  notDtected 1 0 nb_WinessCacheMax=3 nb_WinessCache=131, nb_calimsMax=3, nb_claims=11 Nb_Messages=242
10  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=128, nb_calimsMax=3, nb_claims=5 Nb_Messages=231
11  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=130, nb_calimsMax=3, nb_claims=8 Nb_Messages=233
12  detected 1 0 nb_WinessCacheMax=4 nb_WinessCache=129, nb_calimsMax=4, nb_claims=15 Nb_Messages=244
13  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=124, nb_calimsMax=3, nb_claims=16 Nb_Messages=269
14  detected 1 0 nb_WinessCacheMax=4 nb_WinessCache=132, nb_calimsMax=4, nb_claims=22 Nb_Messages=247
15  detected 1 0 nb_WinessCacheMax=2 nb_WinessCache=129, nb_calimsMax=2, nb_claims=2 Nb_Messages=232
16  detected 1 0 nb_WinessCacheMax=4 nb_WinessCache=134, nb_calimsMax=4, nb_claims=9 Nb_Messages=242
17  notDtected 1 0 nb_WinessCacheMax=4 nb_WinessCache=127, nb_calimsMax=4, nb_claims=16 Nb_Messages=253
18  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=141, nb_calimsMax=3, nb_claims=41 Nb_Messages=270
19  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=131, nb_calimsMax=3, nb_claims=5 Nb_Messages=238
20  detected 1 0 nb_WinessCacheMax=4 nb_WinessCache=131, nb_calimsMax=4, nb_claims=13 Nb_Messages=232
21  notDtected 1 0 nb_WinessCacheMax=3 nb_WinessCache=128, nb_calimsMax=3, nb_claims=8 Nb_Messages=213
22  notDtected 1 0 nb_WinessCacheMax=3 nb_WinessCache=138, nb_calimsMax=3, nb_claims=7 Nb_Messages=256
23  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=134, nb_calimsMax=3, nb_claims=27 Nb_Messages=250
24  notDtected 1 0 nb_WinessCacheMax=3 nb_WinessCache=133, nb_calimsMax=3, nb_claims=15 Nb_Messages=261
25  notDtected 1 0 nb_WinessCacheMax=3 nb_WinessCache=136, nb_calimsMax=3, nb_claims=32 Nb_Messages=255
26  notDtected 1 0 nb_WinessCacheMax=4 nb_WinessCache=126, nb_calimsMax=4, nb_claims=8 Nb_Messages=249
27  detected 1 0 nb_WinessCacheMax=4 nb_WinessCache=132, nb_calimsMax=4, nb_claims=4 Nb_Messages=222
28  detected 1 0 nb_WinessCacheMax=2 nb_WinessCache=131, nb_calimsMax=2, nb_claims=6 Nb_Messages=242
29  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=131, nb_calimsMax=3, nb_claims=10 Nb_Messages=237
30  notDtected 1 0 nb_WinessCacheMax=3 nb_WinessCache=131, nb_calimsMax=3, nb_claims=6 Nb_Messages=225
31  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=134, nb_calimsMax=3, nb_claims=18 Nb_Messages=247
32  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=132, nb_calimsMax=3, nb_claims=9 Nb_Messages=242
33  notDtected 1 0 nb_WinessCacheMax=2 nb_WinessCache=139, nb_calimsMax=2, nb_claims=4 Nb_Messages=247
34  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=129, nb_calimsMax=3, nb_claims=11 Nb_Messages=270
35  detected 1 0 nb_WinessCacheMax=2 nb_WinessCache=136, nb_calimsMax=2, nb_claims=2 Nb_Messages=263
36  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=137, nb_calimsMax=3, nb_claims=35 Nb_Messages=240
37  detected 1 0 nb_WinessCacheMax=2 nb_WinessCache=137, nb_calimsMax=2, nb_claims=18 Nb_Messages=291
38  notDtected 1 0 nb_WinessCacheMax=3 nb_WinessCache=132, nb_calimsMax=3, nb_claims=19 Nb_Messages=234
39  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=127, nb_calimsMax=3, nb_claims=8 Nb_Messages=237
40  notDtected 1 0 nb_WinessCacheMax=3 nb_WinessCache=122, nb_calimsMax=3, nb_claims=8 Nb_Messages=231
41  detected 1 0 nb_WinessCacheMax=4 nb_WinessCache=138, nb_calimsMax=4, nb_claims=35 Nb_Messages=260
42  detected 1 0 nb_WinessCacheMax=4 nb_WinessCache=135, nb_calimsMax=4, nb_claims=32 Nb_Messages=257
43  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=130, nb_calimsMax=3, nb_claims=9 Nb_Messages=228
44  detected 1 0 nb_WinessCacheMax=5 nb_WinessCache=134, nb_calimsMax=5, nb_claims=30 Nb_Messages=253
45  detected 1 0 nb_WinessCacheMax=2 nb_WinessCache=136, nb_calimsMax=2, nb_claims=15 Nb_Messages=270
46  notDtected 1 0 nb_WinessCacheMax=3 nb_WinessCache=134, nb_calimsMax=3, nb_claims=15 Nb_Messages=234
47  notDtected 1 0 nb_WinessCacheMax=4 nb_WinessCache=120, nb_calimsMax=4, nb_claims=7 Nb_Messages=222
48  notDtected 1 0 nb_WinessCacheMax=2 nb_WinessCache=146, nb_calimsMax=2, nb_claims=5 Nb_Messages=285
49  detected 1 0 nb_WinessCacheMax=2 nb_WinessCache=137, nb_calimsMax=2, nb_claims=2 Nb_Messages=267
50  detected 1 0 nb_WinessCacheMax=5 nb_WinessCache=135, nb_calimsMax=5, nb_claims=28 Nb_Messages=251
