0  detected 1 0 nb_WinessCacheMax=2 nb_WinessCache=79, nb_calimsMax=2, nb_claims=2 Nb_Messages=179
1  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=74, nb_calimsMax=3, nb_claims=3 Nb_Messages=171
2  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=84, nb_calimsMax=3, nb_claims=6 Nb_Messages=234
3  detected 1 0 nb_WinessCacheMax=2 nb_WinessCache=75, nb_calimsMax=2, nb_claims=2 Nb_Messages=174
4  detected 1 0 nb_WinessCacheMax=7 nb_WinessCache=65, nb_calimsMax=7, nb_claims=10 Nb_Messages=150
5  detected 1 0 nb_WinessCacheMax=2 nb_WinessCache=72, nb_calimsMax=2, nb_claims=3 Nb_Messages=177
6  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=77, nb_calimsMax=3, nb_claims=20 Nb_Messages=182
7  detected 1 0 nb_WinessCacheMax=2 nb_WinessCache=80, nb_calimsMax=2, nb_claims=2 Nb_Messages=201
8  detected 1 0 nb_WinessCacheMax=2 nb_WinessCache=85, nb_calimsMax=2, nb_claims=12 Nb_Messages=206
9  detected 1 0 nb_WinessCacheMax=4 nb_WinessCache=78, nb_calimsMax=4, nb_claims=29 Nb_Messages=187
10  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=79, nb_calimsMax=3, nb_claims=14 Nb_Messages=177
11  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=72, nb_calimsMax=3, nb_claims=3 Nb_Messages=157
12  detected 1 0 nb_WinessCacheMax=2 nb_WinessCache=82, nb_calimsMax=2, nb_claims=8 Nb_Messages=185
13  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=80, nb_calimsMax=3, nb_claims=6 Nb_Messages=191
14  detected 1 0 nb_WinessCacheMax=1 nb_WinessCache=73, nb_calimsMax=1, nb_claims=1 Nb_Messages=160
15  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=74, nb_calimsMax=3, nb_claims=4 Nb_Messages=163
16  detected 1 0 nb_WinessCacheMax=2 nb_WinessCache=70, nb_calimsMax=2, nb_claims=5 Nb_Messages=179
