0  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=81, nb_calimsMax=3, nb_claims=17 Nb_Messages=192
1  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=75, nb_calimsMax=3, nb_claims=6 Nb_Messages=204
2  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=77, nb_calimsMax=3, nb_claims=9 Nb_Messages=182
3  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=76, nb_calimsMax=3, nb_claims=3 Nb_Messages=183
4  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=77, nb_calimsMax=3, nb_claims=10 Nb_Messages=171
5  detected 1 0 nb_WinessCacheMax=2 nb_WinessCache=77, nb_calimsMax=2, nb_claims=2 Nb_Messages=214
6  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=68, nb_calimsMax=3, nb_claims=10 Nb_Messages=142
7  detected 1 0 nb_WinessCacheMax=7 nb_WinessCache=61, nb_calimsMax=7, nb_claims=8 Nb_Messages=160
8  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=69, nb_calimsMax=3, nb_claims=9 Nb_Messages=143
9  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=75, nb_calimsMax=3, nb_claims=8 Nb_Messages=186
10  detected 1 0 nb_WinessCacheMax=4 nb_WinessCache=74, nb_calimsMax=4, nb_claims=9 Nb_Messages=168
11  detected 1 0 nb_WinessCacheMax=6 nb_WinessCache=70, nb_calimsMax=6, nb_claims=25 Nb_Messages=161
12  detected 1 0 nb_WinessCacheMax=2 nb_WinessCache=73, nb_calimsMax=2, nb_claims=2 Nb_Messages=161
13  detected 1 0 nb_WinessCacheMax=4 nb_WinessCache=71, nb_calimsMax=4, nb_claims=25 Nb_Messages=169
14  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=71, nb_calimsMax=3, nb_claims=4 Nb_Messages=182
15  detected 1 0 nb_WinessCacheMax=4 nb_WinessCache=70, nb_calimsMax=4, nb_claims=12 Nb_Messages=167
16  detected 1 0 nb_WinessCacheMax=4 nb_WinessCache=61, nb_calimsMax=4, nb_claims=9 Nb_Messages=143
17  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=70, nb_calimsMax=3, nb_claims=4 Nb_Messages=165
18  detected 1 0 nb_WinessCacheMax=9 nb_WinessCache=64, nb_calimsMax=9, nb_claims=15 Nb_Messages=153
19  detected 1 0 nb_WinessCacheMax=4 nb_WinessCache=81, nb_calimsMax=4, nb_claims=16 Nb_Messages=188
