[idA=13 idCloneA=2 posA=(250 250) posCloneA=(300 500) detectRate=0.00000000000000000000 averageMemorySize=4556.5184 maxMemorySize=934.0 averageNbMessageSent=193.4584 detectionNb=0 lineNB=2500 totalNbMessageSent=483646 totalMemorySize=1.1391296E7]0.0
[idA=14 idCloneA=2 posA=(250 250) posCloneA=(500 100) detectRate=0.00000000000000000000 averageMemorySize=4355.1312 maxMemorySize=1024.0 averageNbMessageSent=185.6952 detectionNb=0 lineNB=2500 totalNbMessageSent=464238 totalMemorySize=1.0887828E7]0.0
[idA=15 idCloneA=2 posA=(250 250) posCloneA=(500 300) detectRate=0.00200000000000000000 averageMemorySize=4279.9912 maxMemorySize=1294.0 averageNbMessageSent=185.5204 detectionNb=5 lineNB=2500 totalNbMessageSent=463801 totalMemorySize=1.0699978E7]20.0
[idA=16 idCloneA=2 posA=(250 250) posCloneA=(500 500) detectRate=0.00000000000000000000 averageMemorySize=4453.9408 maxMemorySize=934.0 averageNbMessageSent=188.5044 detectionNb=0 lineNB=2500 totalNbMessageSent=471261 totalMemorySize=1.1134852E7]0.0
[idA=8 idCloneA=3 posA=(300 250) posCloneA=(100 100) detectRate=0.00040000000000000000 averageMemorySize=4737.7848 maxMemorySize=1114.0 averageNbMessageSent=196.7776 detectionNb=1 lineNB=2500 totalNbMessageSent=491944 totalMemorySize=1.1844462E7]4.0
[idA=9 idCloneA=3 posA=(300 250) posCloneA=(100 300) detectRate=0.00000000000000000000 averageMemorySize=4667.9608 maxMemorySize=1384.0 averageNbMessageSent=193.7168 detectionNb=0 lineNB=2500 totalNbMessageSent=484292 totalMemorySize=1.1669902E7]0.0
[idA=10 idCloneA=3 posA=(300 250) posCloneA=(100 500) detectRate=0.00000000000000000000 averageMemorySize=4485.3448 maxMemorySize=1024.0 averageNbMessageSent=190.0488 detectionNb=0 lineNB=2500 totalNbMessageSent=475122 totalMemorySize=1.1213362E7]0.0
[idA=11 idCloneA=3 posA=(300 250) posCloneA=(300 100) detectRate=0.00920000000000000000 averageMemorySize=4449.7 maxMemorySize=1024.0 averageNbMessageSent=188.1384 detectionNb=23 lineNB=2500 totalNbMessageSent=470346 totalMemorySize=1.112425E7]92.0
[idA=12 idCloneA=3 posA=(300 250) posCloneA=(300 300) detectRate=0.83760000000000000000 averageMemorySize=4251.4504 maxMemorySize=1384.0 averageNbMessageSent=186.226 detectionNb=2094 lineNB=2500 totalNbMessageSent=465565 totalMemorySize=1.0628626E7]8376.0
[idA=13 idCloneA=3 posA=(300 250) posCloneA=(300 500) detectRate=0.00000000000000000000 averageMemorySize=4651.1816 maxMemorySize=1024.0 averageNbMessageSent=193.8636 detectionNb=0 lineNB=2500 totalNbMessageSent=484659 totalMemorySize=1.1627954E7]0.0
